Japanese	Indonesia
torimasu	mengambil
aimasu		bertemu
shimasu		melakukan, mengerjakan, berbuat
tenisu		tenis

sakka-		sepak bola, soccer, football
[o]hanami	menikmati bunga sakura
tabako		rokok
tegami		surat
repo-to		laporan
shashin		foto
bideo		video
nani		apa?
nan		apa?
gohan		nasi
asagohan	sarapan
hirugohan	makan siang
bangohan	makan malam

pan		roti
tamago		telur
niku		daging
sakana		ikan
yasai		sayur
kudamono	buah-buahan
mizu		air
ocha		teh, teh jepang
koucha		teh merah
miruku		susu
gyuunyuu	susu
ju-su		jus
bi-ru		bir
[o]sake		sake, minuman keras

mise		toko
niwa		halaman (rumah)
mekishiko	meksiko
isshoni		bersama-sama
chotto		sebentar, sedikit
itsumo		selalu
tokidoki	kadang-kadang, sometimes
korekara	setelah itu, kemudian
ee		iya (santai)
iidesune	bagus ya, baik ya
nandesuka	apa?
ja, mata[ashita]	ok, sampai jumpa[besok]
wakarimashita	mengerti, baik










------------- Bab 8  ------------
kirimasu	menggunting, memotong
okurimasu	mengirim, mengantar
agemasu		memberikan
moraimasu	mendapatkan, menerima
kashimasu	meminjamkan, menyewakan
karimasu	meminjam, menyewa
oshiemasu	mengajar
naraimasu	belajar (dengan tutor)
denwa wo kakemasu	menelepon
te		tangan
hashi		sumpit
supu-n		sendok

naifu		pisau, knife
fo-ku		garpu, fork
hasami		gunting
ke-tai		HP
me-ru		email
nengajou	kartu tahun baru
panchi		pelubang kertas
hocchikisu	staples, stapler
serote-pu	selotip
keshigomu	penghapus karet, eraser

kami		kertas
hana		bunga
puresento	present, hadiah, kado
nimotsu		barang
okane		uang
chichi		bapak, ayah
haha		ibu
okaasan		ibu orang lain (panggilan untuk ibu kandung sendiri)
otousan		ayah orang lain (panggilan untuk ibu kandung sendiri)
kurisumasu	natal, christmas
kippu		karcis, tiket
shatsu		kemeja, kaos
mou		sudah
mada		belum
korekara	mulai sekarang
~sutekidesune	~bagus ya
irasshai	selamat datang
douzo oagari kudasai	silahkan masuk
shitsureishimasu	permisi
[~ha]ikagadesuka	bagaimana [~]
itadakimasu	selamat makan
gochisousama[deshita]	terima kasih atas hidangannya








------------- Bab 9  ------------
hansamu[na]	ganteng, tampan, gagah
kirei[na]	bersih, cantik
shizuka[na]	tenang, sunyi
nigiyaka[na]	ramai
yuumei[na]	terkenal
shinsetsu[na]	baik hati (tidak digunakan untuk keluarga sendiri)
genki[na]	sehat walafiat
hima[na]	senggang, luang, waktu luang
benri[na]	praktis
suteki[na]	bagus
ookii		besar
chiisai		kecil
atarashii	baru
furui		lama, tua
ii		baik, bagus
yoi		baik, bagus
warui		buruk, jelek
atsui		panas
samui		dingin (cuaca)
tsumetai	dingin (benda)

muzukashii	sulit, susah
yasashii	mudah, gampang
takai		mahal, tinggi
yasui		murah
hikui		rendah
omoshiroi	menarik
oishii		enak
amari		kurang begitu~, tidak begitu~ (diikuti kalimat negatif)
totemo		sangat, ~sekali (digunakan sebelum kata sifat)
isogashii	sibuk
tanoshii	senang
shiroi		putih
kuroi		hitam
aoi		biru
akai		merah
midori		hijau
sakura		sakura
yama		gunung
machi		kota
tabemono	makanan
nomimono	minuman

tokoro		tempat
ryou		asrama
seikatsu	kehidupan
[o]shigoto	pekerjaan
dou		bagaimana?
donna~		yang bagaimana~
soshite		kemudian, dan (digunakan untuk menyambung kalimat)
~ga		~, tetapi~ (di tengah kalimat)
ogenki desuka	apa kabar?
~mou ippai ikagadesuka	mau tambah~ secangkir lagi?
mou~ desu[ne]	sudah ~[ya]
sorosoro shitsureishimasu	maaf, saya mau pamit dulu
iie		sama-sama
mata irashatte kudasai	silahkan datang lagi
shanhai		sanghai
kinkakuji	kuil kinkakuji









------------- Bab 10  ------------
wakarimasu	mengerti
arimasu		ada, mempunyai (benda mati)
suki[na]	suka, gemar
kirai[na]	tidak suka, benci
jouzu[na]	pintar, pandai 
heta[na]	tidak pandai, tidak pintar
nomimono	minuman
ryouri		masakan
supo-tsu	sport, olahraga
yakyuu		bisbol, baseball

dansu		dansa
ryokou		tamasya, trip, travel
ongaku		musik
uta		lagu
kurasikku	klasik 
jazzu		jaz
karaoke		karaoke
e		gambar
kabuki		kabuki (salah satu drama tradisional jepang)
ji		huruf
goshujin	suami (digunakan untuk menyebutkan suami orang lain)

otto		suami
shujin		suami
okusan		istri (digunakan untuk menyebutkan suami orang lain)
tsuma		istri
kanai		istri
kodomo		anak
yoku		dengan baik
daitai		kira-kira, kurang lebih
takusan		banyak
sukoshi		sedikit
zenzen		sama sekali (diikuti kalimat negatif)
hayaku		dengan cepat

jikan		waktu, jam
gurai		kurang lebih, sekitar, kira-kira
~kara		karena~, sebab~
kanji		kanji
hiragana	hiragana
katakana	katakana
ro-maji		romaji, huruf latin
omakai okane	uang kecil, uang receh
chiketto	tiket
youji		urusan
yakusoku	janji

arubaito	kerja paruh waktu, kerja sampingan, part time
doushite	kenapa?
kashite kudasai	tolong pinjamkan
iidesuyo	boleh
zannendesu[ga]	sayang sekali
aa		oh, aa
isshoni ikagadesuka	bagaimana kalau bersama-sama?
~ha chotto	maaf ya, saya tidak bisa~
damedesuka	tidak bisa ya?, tidak boleh ya?
matakondo onegaishimasu	maaf, lain kalisaja











------------- Bab 19  ------------
~me-toru	meter
genkin		uang tunai
syumi		hobi, gemar
nikki		catatan harian, diary
oinori		doa (~wo shimasu : berdoa)
furusato	kampung halaman
kacyou		kepala seksi
bucyou		kepala bagian
jyacyou		direktur utama

doubutsu	hewan, binatang
uma		kuda
mukashi		jaman dahulu
inta-netto	internet
tokuni		terutama, khususnya
hee		betul ya?, benar ya?, masa!
omoshiroi	menarik (sorewa omoshiroi desune : itu menarik ya)
nakanaka	jarang, tidak mudah(diikuti bentuk negatif)
hontoudesuka	benar?, betul?
zehi		benar-benar, mesti



------------- Bab 20 ------------
noborimasu	naik
tomarimasu	menginap(di hotel)
soujishimasu	membersihkan
sentakushimasu	mencuci pakaian
narimasu	menjadi
nemui		mengantuk
tsuyoi		kuat
yowai		lemah
toukyou		tokyo

rensyuu		latihan (~wo shimasu : berlatih)
gorufu		golf (~wo shimasu : bermain golf)
sumou		sumo (~wo shimasu : bermain sumo)
ocha		teh
hi		hari
cyoushi		kondisi
ichido		sekali
ichidomo	satu kalipun, tidak sama sekali(diikuti bentuk negatif)

dandan		berangsur-angsur, lama-kelamaan
mousugu		tidak lama lagi
okagesamade	atas berkat(ucapan yang digunakan ketika menyatakan rasa terima kasih atas bantuan atau kebaikan hati dari orang)
demo		tetapi
kanpai		toast, bersulang
daietto		diet (~wo shimasu : berdiet)
muri[na]	paksa, berlebihan, tidak mungkin
kara da ni ii	baik untuk tubuh







------------- Bab 21 ------------
irimasu		memerlukan
shirabemasu	memeriksa, meneliti, mengecek
syuurishimasu	memperbaiki
boku		aku (laki-laki, informal dari watashi)
kimi		kamu (informal dari anata)
~kun		saudara ~ (informal dari san, sering digunakan untuk nama anak laki-laki)
un		ya (informal dari はい)
uun		tidak, bukan (informal dari いいえ)
kotoba		kata, bahasa
kimono		kimono (pakaian tradisional jepang)
biza		VISA
hajime		awal, mula-mula
owari		akhir
kocchi		sini (informal kochira)
sochhi		situ (informal sochira)
acchi		sana (informal achira)
docchi		mana (informal dochira)
minnade		kita semua, kita sama-sama
~kedo		~tetapi (informal dari が)
onakagaippaidesu	sudah kenyang
yokattara	kalau mau, kalau suka
iroiro		macam-macam





------------- Bab 22 ------------
omoimasu        mengira
iimasu		mengatakan
kachimasu	menang
makemasu	kalah
arimasu		ada, diadakan
yakunitachimasu	berguna, bermanfaat
ugokimasu	pindah, bergerak
yamemasu	berhenti
kiwotsukemasu	berwaspada, berhati-hati
ryougakusimasu	studi di luar negeri
muda[na]	sia-sia. Tidak berguna
uben[na]	tidak praktis
sugoi		hebat
hontou		betul

uso		bohong
jidousya	mobil
koutsuu		lalu lintas
bukka		harga barang
bousou		siaran, pengumuman
nyuusu		berita
shinjimasu	mempercayai
anime		animasi jepang
manga		manga, komik
dezain		desain
yume		mimpi
tensai		genius
shiai		pertandingan (~ wo shimasu : bertanding)
iken		pendapat
hanashi		cerita (~ wo shimasu : bercerita, berbicara)

chikyuu		bumi
tsuki		bulan
kaguyahime	cerita legenda jepang
bokushi		pastur, pendeta
saikin		akhir-akhir ini
tabun		mungkin, barangkali
kitto		pasti
hontouni	betul-betul
sonnani		tidak begitu (diikuti bentuk negatif)
~nitsuite	tentang ~, mengenai ~
hisashiburidesune 	sudah lama tidak bertemu ya
~demonomimasenka	Bagaimana kalau kita minum ~, atau apa saja?
mochiron	tentang saja
moukaeranaito	saya harus pulang








------------- Bab 23 ------------
kimasu		memakai(kemeja, atasan)
hakimasu	memakai(sepatu, celana)
kaburimasu	memakai(topi)
kakemasu	memakai(kacamata)
shimasu		memakai(dasi)
umaremasu	lahir

watashitachi	kami, kita
ko-to		mantel
seetaa		sweater, baju hangat
suutsu		pakaian setelan
boushi		topi
megane		kacamata
keeki		kue
[o]bentou	bekal
robotto		robot
yuumoa		humor
tsugou		kondisi
yoku		seringkali
eeto		itu...
omedetou[gozaimasu]	selamat(digunakan untuk hari ulang tahun, upacara pernikahan, dan tahun baru, dll)
osagashidesuka	mencari apa?
dewa		kalau begitu
kochira		ini (formal これ)

yachin		biaya sewa rumah
dainingukicchin	ruang makan dengan dapur
washitsu	kamar ala jepang
oshiire		lemari dinding ala jepang
futon		selimut dan kasur berisi kapas ala jepang











------------- Bab 24 ------------
kikimasu	bertanya (sensei ni kikimasu : bertanya kepada guru)
mawashimasu	memutar
hikimasu	tarik
kaemasu		mengubah
sawarimasu	menyentuh
demasu		keluar
otsuri		kembalian
arukimasu	berjalan kaki
watarimasu	menyeberang
magarimasu	belok
sabishii	sepi
mura		desa
hashi		jembatan
[o]yu		air panas
oto		suara, bunyi
saizu		ukuran

kosyou		kerusakan (~shimasu : rusak)
michi		jalan
kousaten	perempatan
shingou		lampu lalu lintas
kado		sudut
hashi		jembatan
cyuusyajyou	tempat parkir
tatemono	gedung
nankaimo	berkali-kali
~me		yang ke~ (mengungkapkan urutan)






------------- Bab 25 ------------
kuremasu	memberikan (orang lain)
naoshimasu	mengoreksi
tsureteikimasu	membawa, mengajak pergi
tsuretekimasu	membawa datang, mengajak datang
okurimasu	mengantar (hito wo okurimasu : mengantar orang)
syoukaishimasu	memperkenalkan
annaishimasu	mengantarkan
setsumeishimasu	menjelaskan, menerangkan

ojiisan		kakek
ojiichan	kakek
obaasan		nenek
obaachan	nenek
jyunbi		persiapan (~wo shimasu : mempersiapkan)
hikkoshi	pindah rumah (~wo shimasu : pindah, memindahkan)
okashi		camilan, snack
hoomusutei	homestay
zenbu		semua
jibunde		dengan sendiri
hokani		selain, yang lain









------------- Bab 26 ------------
kangaemasu	berpikir
tsukimasu	tiba, sampai
toshi wo torimasu	berumur, lanjut usia
tarimasu	cukup
inaka		desa, kampung halaman
chansu		kesempatan
oku		ratus juta
moshi[-tara]	kalau

imi		arti, makna
moshimoshi	halo (saat menelepon)
tenkin		pindah ke kantor cabang lain atau jabatan lain
koto		hal (~no koto : hal ~)
hima[na]	waktu luang
ganbarimasu	berusaha, bekerja keras
douzo ogenkide	semoga sehat selalu (digunakan ketika perpisahan dalam jangka waktu lama)
iroiro osewaninarimashita	terima kasih banyak atas bantuan anda yang telah anda berikan

